# GSC sc-domain:app.vodnavi.jp / page=!https://app.vodnavi.jp/articles/fanza-subscription-vs-single-purchase / 検索タイプ=ウェブ / 取得 2026-09-12 01:59〜02:03 JST / 画面「最終更新日: 6 時間前」/ 最新データ日 2026-09-08 / authuser=2
# 合計(3か月・2026-06-09〜09-08): クリック 1 / 表示 25 / CTR 4% / 平均掲載順位 10.7
date	clicks	impressions
2026-09-08	0	0
2026-09-07	0	0
2026-09-06	0	0
2026-09-05	0	0
2026-09-04	0	0
2026-09-03	0	0
2026-09-02	0	0
2026-09-01	0	0
2026-08-31	0	0
2026-08-30	0	0
2026-08-29	0	0
2026-08-28	0	2
2026-08-27	0	4
2026-08-26	1	4
2026-08-25	0	1
2026-08-24	0	3
2026-08-23	0	2
2026-08-22	0	2
2026-08-21	0	0
2026-08-20	0	1
2026-08-19	0	1
2026-08-18	0	1
2026-08-17	0	2
2026-08-16	0	1
2026-08-15	0	1
2026-08-14	0	0
2026-08-13	0	0
2026-08-12	0	0
2026-08-11	0	0
