side	postId	name	imp	eng	detail	prof	link	read_at_jst	note
text	2094757256315252977	W9-04 北岡果林 SQTE-628	5	0	0	0	0	2026-09-12 00:40:45頃	疎通確認時と一致(imp5)
text	2094779902343946709	W9-18 時間が溶ける前に	6	0	0	0	0	2026-09-12 00:42:27頃	link は下端切れ・要再読
text	2095119566451970540	W9-05 三好佑香 PRED-812	8	-	-	-	-	2026-09-12 00:4x	imp のみ視認・他項目未読・要再読
text	2095142233317986621	W9-19 TG-17 明細の表記	8	0	0	0	0	2026-09-12 00:49:43	TweetActivityQuery 200 を確認済
text	2095482055236702592	W9-06 逢沢みゆ WAAA-628	7	0	0	0	0	2026-09-12 00:52:xx	ロード約70秒
text	2095504663818703276	W9-20 探す時間のほうが長い	10	0	0	0	0	2026-09-12 00:54:32	
text	2095844440296341979	W9-07 博多彩葉 SNOS-172	8	0	0	0	0	2026-09-12 00:55:44	
video	2095848071104204869	1本目 1sun00067a 美園和花	9	2	2	0	0	2026-09-12 00:58:08	動画: ユニーク再生1 / 再生4
text	2095867058118398395	W9-21 TG-18 FANZA TVとは	13	0	0	0	0	2026-09-12 01:00:06	
text	2096206748931547436	W9-08 羽川るる MIDA-455	6	0	0	0	0	2026-09-12 01:01:22	
video	2096217605006885360	2本目 1start00631 天神羽衣/大浦真奈美	14	2	2	0	0	2026-09-12 01:02:46	動画: ユニーク再生1 / 再生1
text	2096229391009292566	W9-22 ジャンル名で探す前に	11	0	0	0	0	2026-09-12 01:04:40	
text	2096569168317280304	W9-09 清野咲 CAWD-891	9	0	0	0	0	2026-09-12 01:06:34	
text	2096591782532247824	W9-23 TG-19 評判と向かない人	11	0	0	0	0	2026-09-12 01:08:29	
text	2096931659736121707	W9-10 桃園怜奈 JUVR-277	10	0	0	0	0	2026-09-12 01:10:22	
text	2096954216279404729	W9-24 候補が多すぎる夜に	13	0	0	0	0	2026-09-12 01:12:19	
text	2097294046519574586	W9-11 未歩なな SONE-665	9	0	0	0	0	2026-09-12 01:15:00	約60秒時点で全項目0(TweetActivityQuery 200 が3件記録済みの状態)→約90秒で imp 9 に変化。API 200 の記録はロード完了の証拠にならない
text	2097309199852089697	T3 日替わりセール☆（併走日①）	7	0	0	0	0	2026-09-12 01:16:57	
text	2097316565930660102	W9-25 TG-20 0円で終えるタイミング	9	0	0	0	0	2026-09-12 01:18:53	
text	2097656368773664963	W9-12 佐々木さき IPZZ-766	5	0	0	0	0	2026-09-12 01:20:53	
video	2097662554944544809	3本目 miab00677 逢沢みゆ	8	1	1	0	0	2026-09-12 01:22:55	動画: ユニーク再生1 / 再生1。9/11 疎通確認時も imp 8
text	2097678970867056799	W9-26 新着を上から、をやめる	6	0	0	0	0	2026-09-12 01:24:52	
text	2098018786880152021	W9-13 松永あかり SDJS-342	4	0	0	0	0	2026-09-12 01:26:51	
text	2098033852593705171	T3 日替わりセール◆（併走日②）	5	2	1	0	1	2026-09-12 01:28:50	テキスト側で唯一リンククリック>0
text	2098041356757115094	W9-27 TG-21 解約の不安解消	7	0	0	0	0	2026-09-12 01:30:49	
text	2098381152885068039	W9-14 小笠原菜乃 DSVR-1933	1	0	0	0	0	2026-09-12 01:33:22	約60秒時点で全項目0→約90秒で imp 1。配信から約4.5時間
text	2098403736456446359	W9-28 時間が溶ける前に	1	0	0	0	0	2026-09-12 01:35:20	配信から約3時間
text	2094779902343946709	W9-18 時間が溶ける前に(再読)	6	0	0	0	0	2026-09-12 01:38:24	再読で全5項目を確認。00:42 の imp 6 と一致
text	2095119566451970540	W9-05 三好佑香 PRED-812(再読)	8	0	0	0	0	2026-09-12 01:40:48	再読で全5項目を確認。00:4x の imp 8 と一致
