handle	followers	last_post	grok_date	kind
@FANZAdougaX	94218	2026-09-16	2026-09-17	today
@DMM10sale	51219	2026-09-15	2026-09-17	today
@fanza_sns	198968	2026-09-16	2026-09-17	today
@fanza_meireview	9043	2026-05-25	2026-09-17	today
@AViiyone	7907	2026-09-16	2026-09-17	today
@shirot_AV_chosa	4630	2026-09-16	2026-09-17	today
@PREMIUM_AV	70600	2026-09-16	2026-09-17	today
@kawaii_pr	66818	2026-09-15	2026-09-17	today
@Fitch_official	60181	2026-09-16	2026-09-17	today
@PRESTIGE_PR2020	50658	2026-09-01	2026-09-17	today
@honnaka_NN	12535	2026-09-15	2026-09-17	today
@MOODYZ_official	259717	2026-09-16	2026-09-17	today
@S1_No1_Style	359343	2026-09-16	2026-09-17	today
@shinnakanodream	239909	2026-09-15	2026-09-17	today
@iyo_shinohara	150858	2026-09-14	2026-09-17	today
@Aizawa_miyu03	201033	2026-09-16	2026-09-17	today
@nao_satsuki	234821	2026-09-15	2026-09-17	today
@saki_seino	71038	2026-09-16	2026-09-17	today
@karin_kitaoka_	101900	2026-09-14	2026-09-17	today
@waka_misono	167551	不明	2026-09-17	today
@ran_tpowers	86005	2026-09-16	2026-09-17	today
@Kizukiamane	16256	2026-09-09	2026-09-17	today
@mayukiito	1139796	2026-09-16	2026-09-17	today
@umi_sea_0v0	1086536	2026-09-15	2026-09-17	today
@Madonna_AVinfo	90000	2026-09-16(CSO追記)	2026-09-16	transcribed
@attackers_av	61000	2026-09-16(CSO追記)	2026-09-16	transcribed
@wanz_official	47000	2026-09-13(CSO追記)	2026-09-16	transcribed
@FalenoEvent	21000	2026-09-16(CSO追記)	2026-09-16	transcribed
@sodstarofficial	18000	2026-09-16(CSO追記)	2026-09-16	transcribed
@IDEAPOCKETTER	176000	2026-09-16(CSO追記)	2026-09-16	transcribed
@shiromine_miu	302000	2026-09-15(CSO追記)	2026-09-16	transcribed
@azusa_hikari_	257000	2026-09-13	2026-09-16	transcribed
@sakuramio_X	13000	2026-09-16	2026-09-16	transcribed
@mio_sakai_	29000	2026-09-15	2026-09-16	transcribed
@5may_itsukaichi	181000	2026-09-16	2026-09-16	transcribed
