handle	recId	priority	type	no_repropose	genres	createdTime
@otona_rank_info	recsUaZoSgPvqFAcu		レビュー系	true		2026-09-16T16:06:45.000Z
@5may_itsukaichi	rec1fN2VM1pI5l2vf	1	女優本人	false	巨乳|痴女	2026-09-16T16:13:15.000Z
@Aizawa_miyu03	recld7SvHioWfSb8o	1	女優本人	false	美少女|巨乳	2026-09-16T16:12:01.000Z
@attackers_av	recGCCpEJDzLNEkLo	1	メーカー公式	false	辱め|人妻・主婦|ドラマ	2026-09-16T16:11:23.000Z
@AViiyone	recJK4pYv75Fy1Fsz	1	レビュー系	false		2026-09-16T16:06:45.000Z
@azusa_hikari_	recfvEirsYNX6h6Ga	1	女優本人	false	巨乳|美少女	2026-09-16T16:13:15.000Z
@DMM10sale	recGgGiVMfR8Bptcp	1	セール告知系	false		2026-09-16T16:06:45.000Z
@FalenoEvent	recByvjAnovkOIiu3	1	メーカー公式	false	巨乳|美少女	2026-09-16T16:11:23.000Z
@fanza_meireview	recVHlk4mHn7C4rAx	1	レビュー系	false		2026-09-16T16:06:45.000Z
@FANZAdougaX	recEfvfO65s5S0o1f	1	セール告知系	false		2026-09-16T16:06:45.000Z
@Fitch_official	rec4XV4eU5UQUntIZ	1	メーカー公式	false	巨乳|痴女	2026-09-16T16:11:23.000Z
@honnaka_NN	rec0nGddlSPhwOqcI	1	メーカー公式	false	企画|美少女	2026-09-16T16:11:23.000Z
@iyo_shinohara	rec916RFclGkjRpeb	1	女優本人	false	熟女|人妻・主婦	2026-09-16T16:12:01.000Z
@karin_kitaoka_	recMrhIc4oQ6hpG2o	1	女優本人	false	美少女|痴女	2026-09-16T16:12:01.000Z
@kawaii_pr	rec00dXKxyuZuZzEY	1	メーカー公式	false	美少女|スレンダー	2026-09-16T16:06:45.000Z
@Kizukiamane	recaVcZyYkTGSdbb4	1	女優本人	false	お姉さん|巨乳	2026-09-16T16:12:01.000Z
@Madonna_AVinfo	rec81cW6UPEmdwPZQ	1	メーカー公式	false	熟女|人妻・主婦	2026-09-16T16:06:45.000Z
@mio_sakai_	recFlyz4vYucvCWgd	1	女優本人	false	スレンダー|お姉さん	2026-09-16T16:13:15.000Z
@nao_satsuki	rec8tvAJ3ho0kzNOC	1	女優本人	false	巨乳	2026-09-16T16:12:01.000Z
@PREMIUM_AV	recHwHcrfE8LFcRdW	1	メーカー公式	false	企画|お姉さん	2026-09-16T16:06:45.000Z
@PRESTIGE_PR2020	recgGfmVPiZ2RWs6a	1	メーカー公式	false		2026-09-16T16:11:23.000Z
@ran_tpowers	recUTLt9vfrI2Kcf6	1	女優本人	false	巨乳	2026-09-16T16:12:01.000Z
@saki_seino	recglKiGDQ9HyneeB	1	女優本人	false	美少女|スレンダー	2026-09-16T16:12:01.000Z
@sakuramio_X	recLjDdc7R8Q5Hi1Q	1	女優本人	false	お姉さん	2026-09-16T16:13:15.000Z
@shirot_AV_chosa	recPYIDdkQ7EC0w0q	1	レビュー系	false		2026-09-16T16:06:45.000Z
@sodstarofficial	recNeii0IxsmSm4Sb	1	メーカー公式	false	企画	2026-09-16T16:11:23.000Z
@SOFT_ON_DEMAND	recyp3I87NxJey8LV	1	メーカー公式	true	企画|OL	2026-09-16T16:11:23.000Z
@waka_misono	recG1UOdyZhtseqWV	1	女優本人	false	巨乳|痴女	2026-09-16T16:12:01.000Z
@wanz_official	recrSDMfNaoitnuaV	1	メーカー公式	false	巨乳|痴女	2026-09-16T16:11:23.000Z
@fanza_sns	reccuopQfFX8dSjwS	2	セール告知系	false		2026-09-16T16:06:45.000Z
@hinako_matsui	recSPWZyyoFXIFcsV	2	女優本人	true	美少女|巨乳	2026-09-16T16:13:15.000Z
@hosimiyaichika	recXsIsbNwypxFNLJ	2	女優本人	true	美少女|スレンダー	2026-09-16T16:13:15.000Z
@IDEAPOCKETTER	rec3EWHDnA1tnjPzL	2	メーカー公式	false	美少女|お姉さん	2026-09-16T16:11:23.000Z
@Miyoshi_style	rechIr8AvsSHpDbBN	2	女優本人	true	お姉さん|スレンダー	2026-09-16T16:13:15.000Z
@MOODYZ_official	recuIj1YV4CmsxgJN	2	メーカー公式	false	巨乳|美少女	2026-09-16T16:11:23.000Z
@piyomaru_cmore	recZgymhLNWcWuMw7	2	女優本人	true	巨乳|痴女	2026-09-16T16:13:15.000Z
@rinrin_dayou	recVN501h1w7Krify	2	女優本人	true	巨乳|美少女	2026-09-16T16:13:15.000Z
@shiromine_miu	recHRnE8hlXY0CsX5	2	女優本人	false	寝取り・寝取られ・NTR|巨乳	2026-09-16T16:13:15.000Z
@mayukiito	recnTmQTtODPKNgoO	3	女優本人	false	美少女|巨乳	2026-09-16T16:13:38.000Z
@S1_No1_Style	recItkceKqz7rPmzD	3	メーカー公式	false	巨乳|美少女	2026-09-16T16:12:01.000Z
@shinnakanodream	recQDdtUugpQKcOUO	3	メーカー公式	false	企画	2026-09-16T16:12:01.000Z
@umi_sea_0v0	recpZbxpXWLU5POkF	3	女優本人	false		2026-09-16T16:13:38.000Z
