handle	followers	status	verified_at	reply_restriction	no_repropose	note_head	flagged
@5may_itsukaichi	181000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	no
@Aizawa_miyu03	201033	候補		不明	false	followers=Grok 2026-09-17	no
@attackers_av	61000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	yes
@AViiyone	7907	候補		不明	false	followers=Grok 2026-09-17	no
@azusa_hikari_	257000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	no
@DMM10sale	51219	候補		不明	false	followers=Grok 2026-09-17	no
@FalenoEvent	21000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	yes
@fanza_meireview	9043	候補		不明	false	followers=Grok 2026-09-17	yes
@fanza_sns	198968	候補		不明	false	followers=Grok 2026-09-17	no
@FANZAdougaX	94218	候補		不明	false	followers=Grok 2026-09-17	no
@Fitch_official	60181	候補		不明	false	followers=Grok 2026-09-17	no
@hinako_matsui		候補		不明	true	【非稼働・再提案しない（CSO 追記 2026-09-17）: 5/19 以降投稿なし】	n/a
@honnaka_NN	12535	候補		不明	false	followers=Grok 2026-09-17	no
@hosimiyaichika		候補		不明	true	【非稼働・再提案しない（CSO 追記 2026-09-17）: 8/5 以降投稿なし】	n/a
@IDEAPOCKETTER	176000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	yes
@iyo_shinohara	150858	候補		不明	false	followers=Grok 2026-09-17	no
@karin_kitaoka_	101900	候補		不明	false	followers=Grok 2026-09-17	no
@kawaii_pr	66818	候補		不明	false	followers=Grok 2026-09-17	no
@Kizukiamane	16256	候補		不明	false	followers=Grok 2026-09-17	yes
@Madonna_AVinfo	90000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	yes
@mayukiito	1139796	候補		不明	false	followers=Grok 2026-09-17	no
@mio_sakai_	29000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	no
@Miyoshi_style		候補		不明	true	【非稼働・再提案しない（CSO 追記 2026-09-17）: 7/10 以降投稿なし・表示名「シャドバン中」】	n/a
@MOODYZ_official	259717	候補		不明	false	followers=Grok 2026-09-17	no
@nao_satsuki	234821	候補		不明	false	followers=Grok 2026-09-17	no
@otona_rank_info		候補		不明	true	【非稼働・再提案しない（CSO 追記 2026-09-17）: フォロワー 78・7/13 以降投稿なし】	n/a
@piyomaru_cmore		候補		不明	true	【非稼働・再提案しない（CSO 追記 2026-09-17）: 7/31 引退】	n/a
@PREMIUM_AV	70600	候補		不明	false	followers=Grok 2026-09-17	no
@PRESTIGE_PR2020	50658	候補		不明	false	followers=Grok 2026-09-17	yes
@ran_tpowers	86005	候補		不明	false	followers=Grok 2026-09-17	no
@rinrin_dayou		候補		不明	true	【非稼働・再提案しない（CSO 追記 2026-09-17）: 5/30 以降投稿なし】	n/a
@S1_No1_Style	359343	候補		不明	false	followers=Grok 2026-09-17	no
@saki_seino	71038	候補		不明	false	followers=Grok 2026-09-17	no
@sakuramio_X	13000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	no
@shinnakanodream	239909	候補		不明	false	followers=Grok 2026-09-17	no
@shiromine_miu	302000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	yes
@shirot_AV_chosa	4630	候補		不明	false	followers=Grok 2026-09-17	no
@sodstarofficial	18000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	yes
@SOFT_ON_DEMAND		候補		不明	true	【非稼働・再提案しない（CSO 追記 2026-09-17）: 1/20 以降投稿なし】	n/a
@umi_sea_0v0	1086536	候補		不明	false	followers=Grok 2026-09-17	no
@waka_misono	167551	候補		不明	false	followers=Grok 2026-09-17	yes
@wanz_official	47000	候補		不明	false	followers=Grok 2026-09-16（概数・seed note から 2026-09-17 転記）	yes
